Chess,748,80.945562,106.25,35.219876
Checkers,748,80.938865,106.25,35.220696
Punderdome,748,80.942878,106.25,35.218597
Dominion,748,80.943378,106.25,35.219753
Yahtzee,748,80.945237,106.5,35.217459
Sorry,748,80.942237,106.5,35.219685
Jenga,748,80.941771,106.5,35.218536
Monopoly,748,80.942623,106.5,35.217667
Risk,748,80.945002,106.5,35.217632
Pandemic,748,80.941878,106.5,35.218936
Talisman,748,80.940278,106.5,35.221105
Codenames,748,80.941771,106.5,35.218536
Clank,748,80.944593,106.5,35.21946
Blackjack,748,80.945636,106.5,35.219517
Roulette,748,80.942338,106.5,35.217533
Slots,748,80.942794,106.5,35.217922
Craps,748,80.945586,106.5,35.217494
Chess,748,80.945562,106.5,35.219876
Checkers,748,80.938865,106.5,35.220696
Punderdome,748,80.942878,106.5,35.218597
Dominion,748,80.943378,106.5,35.219753
Yahtzee,748,80.945237,106.75,35.217459
Sorry,748,80.942237,106.75,35.219685
Jenga,748,80.941771,106.75,35.218536
Monopoly,748,80.942623,106.75,35.217667
Risk,748,80.945002,106.75,35.217632
Pandemic,748,80.941878,106.75,35.218936
Talisman,748,80.940278,106.75,35.221105
Codenames,748,80.941771,106.75,35.218536
Clank,748,80.944593,106.75,35.21946
Blackjack,748,80.945636,106.75,35.219517
Roulette,748,80.942338,106.75,35.217533
Slots,748,80.942794,106.75,35.217922
Craps,748,80.945586,106.75,35.217494
Chess,748,80.945562,106.75,35.219876
Checkers,748,80.938865,106.75,35.220696
Punderdome,748,80.942878,106.75,35.218597
Dominion,748,80.943378,106.75,35.219753
Yahtzee,748,80.945237,107,35.217459
Sorry,748,80.942237,107,35.219685
Jenga,748,80.941771,107,35.218536
Monopoly,748,80.942623,107,35.217667
Risk,748,80.945002,107,35.217632
Pandemic,748,80.941878,107,35.218936
Talisman,748,80.940278,107,35.221105
Codenames,748,80.941771,107,35.218536
Clank,748,80.944593,107,35.21946
Poker,11134.012695,80.742142,107,34.882221
Blackjack,748,80.945636,107,35.219517
Roulette,748,80.942338,107,35.217533
Slots,748,80.942794,107,35.217922
Craps,748,80.945586,107,35.217494
Chess,748,80.945562,107,35.219876
Checkers,748,80.938865,107,35.220696
Go,13844.181641,80.98453,107,34.865236
Punderdome,748,80.942878,107,35.218597
Dominion,748,80.943378,107,35.219753
Yahtzee,748,80.945237,107.25,35.217459
Sorry,748,80.942237,107.25,35.219685
Jenga,748,80.941771,107.25,35.218536
Monopoly,748,80.942623,107.25,35.217667
Risk,748,80.945002,107.25,35.217632
Pandemic,748,80.941878,107.25,35.218936
Talisman,748,80.940278,107.25,35.221105
Codenames,748,80.941771,107.25,35.218536
Clank,748,80.944593,107.25,35.21946
Blackjack,748,80.945636,107.25,35.219517
Roulette,748,80.942338,107.25,35.217533
Slots,748,80.942794,107.25,35.217922
Craps,748,80.945586,107.25,35.217494
Chess,748,80.945562,107.25,35.219876
Checkers,748,80.938865,107.25,35.220696
Punderdome,748,80.942878,107.25,35.218597
Dominion,748,80.943378,107.25,35.219753
Yahtzee,748,80.945237,107.5,35.217459
Sorry,748,80.942237,107.5,35.219685
Jenga,748,80.941771,107.5,35.218536
Monopoly,748,80.942623,107.5,35.217667
Risk,748,80.945002,107.5,35.217632
Pandemic,748,80.941878,107.5,35.218936
Talisman,748,80.940278,107.5,35.221105
Codenames,748,80.941771,107.5,35.218536
Clank,748,80.944593,107.5,35.21946
Blackjack,748,80.945636,107.5,35.219517
Roulette,748,80.942338,107.5,35.217533
Slots,748,80.942794,107.5,35.217922
Craps,748,80.945586,107.5,35.217494
Chess,748,80.945562,107.5,35.219876
Checkers,748,80.938865,107.5,35.220696
Punderdome,748,80.942878,107.5,35.218597
Dominion,748,80.943378,107.5,35.219753
Yahtzee,748,80.945237,107.75,35.217459
Sorry,748,80.942237,107.75,35.219685
Jenga,748,80.941771,107.75,35.218536
Monopoly,748,80.942623,107.75,35.217667
Risk,748,80.945002,107.75,35.217632
Pandemic,748,80.941878,107.75,35.218936
Talisman,748,80.940278,107.75,35.221105
Codenames,748,80.941771,107.75,35.218536
Clank,748,80.944593,107.75,35.21946
Blackjack,748,80.945636,107.75,35.219517
Roulette,748,80.942338,107.75,35.217533
Slots,748,80.942794,107.75,35.217922
Craps,748,80.945586,107.75,35.217494
Chess,748,80.945562,107.75,35.219876
Checkers,748,80.938865,107.75,35.220696
Punderdome,748,80.942878,107.75,35.218597
Dominion,748,80.943378,107.75,35.219753
Yahtzee,748,80.945237,108,35.217459
Sorry,748,80.942237,108,35.219685
Jenga,748,80.941771,108,35.218536
Monopoly,748,80.942623,108,35.217667
Risk,748,80.945002,108,35.217632
Pandemic,748,80.941878,108,35.218936
Talisman,748,80.940278,108,35.221105
Codenames,748,80.941771,108,35.218536
Clank,748,80.944593,108,35.21946
Poker,11122.212891,80.744194,108,34.882592
Blackjack,748,80.945636,108,35.219517
Roulette,748,80.942338,108,35.217533
Slots,748,80.942794,108,35.217922
Craps,748,80.945586,108,35.217494
Chess,748,80.945562,108,35.219876
Checkers,748,80.938865,108,35.220696
Go,13813.541992,80.983137,108,34.865974
Punderdome,748,80.942878,108,35.218597
Dominion,748,80.943378,108,35.219753
Yahtzee,748,80.945237,108.25,35.217459
Sorry,748,80.942237,108.25,35.219685
Jenga,748,80.941771,108.25,35.218536
Monopoly,748,80.942623,108.25,35.217667
Risk,748,80.945002,108.25,35.217632
Pandemic,748,80.941878,108.25,35.218936
Talisman,748,80.940278,108.25,35.221105
Codenames,748,80.941771,108.25,35.218536
Clank,748,80.944593,108.25,35.21946
Blackjack,748,80.945636,108.25,35.219517
Roulette,748,80.942338,108.25,35.217533
Slots,748,80.942794,108.25,35.217922
Craps,748,80.945586,108.25,35.217494
Chess,748,80.945562,108.25,35.219876
Checkers,748,80.938865,108.25,35.220696
Punderdome,748,80.942878,108.25,35.218597
Dominion,748,80.943378,108.25,35.219753
Yahtzee,748,80.945237,108.5,35.217459
Sorry,748,80.942237,108.5,35.219685
Jenga,748,80.941771,108.5,35.218536
Monopoly,748,80.942623,108.5,35.217667
Risk,748,80.945002,108.5,35.217632
Pandemic,748,80.941878,108.5,35.218936
Talisman,748,80.940278,108.5,35.221105
Codenames,748,80.941771,108.5,35.218536
Clank,748,80.944593,108.5,35.21946
Blackjack,748,80.945636,108.5,35.219517
Roulette,748,80.942338,108.5,35.217533
Slots,748,80.942794,108.5,35.217922
Craps,748,80.945586,108.5,35.217494
Chess,748,80.945562,108.5,35.219876
